unique_idx,smiles,affinity,source
32,CCO[C@@H]1CN(C(=O)c2cccc(C)c2)C[C@H]1NC(=O)Cc1ccoc1,-8.5,docking
33,CC(=O)N1CC[C@H](NC(=O)c2cc(=O)[nH]c3c2CCCC3)[C@@H](C)C1,-9.6,docking
34,Cc1cccc(CNCC2CCCC2O)c1,-6.8,docking
35,CC(=O)Nc1ccc(NC(=O)c2cccc(COc3cccc(C#N)c3)c2)cc1,-9.5,docking
36,CC(=O)N1CCC[C@@H](NC(=O)[C@@H]2C[C@H]2c2ccc(F)cc2F)CC1,-9.4,docking
37,CC[C@@H](C)CC(=O)N1C[C@@H](O)[C@H](NC(=O)c2ccnc(C)c2)C1,-7.5,docking
38,Cc1cccc(CNC(=O)N[C@H]2CCO[C@H]2c2ccc(Cl)cc2)c1,-8.7,docking
39,CC[C@H](C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)c3cc(OC)ccc3C)[C@H]2C1)c1ccccc1,-9.5,docking
40,CCCCCCc1ccc(-c2ccc(O)cc2)nc1,-7.2,docking
41,Cc1cc(N2CCC(NC(=O)N[C@H](C)c3ccc(F)cc3)CC2)ncn1,-8.8,docking
42,Cc1cc(C(=O)N[C@@H]2CCO[C@@H]2c2ccc(Cl)c(F)c2)nn1C,-7.9,docking
43,C[C@H](C)Cc1ccc([C@H](C)N)cc1,-6.9,docking
44,CCCCNC(=O)[C@@H]1CCCN(C(=O)NCCc2ccc(C)cc2)C1,-7.8,docking
45,CN(CC(=O)NCCC(C)(C)S(C)(=O)=O)S(=O)(=O)c1ccc(Cl)cc1,-7.0,docking
46,Cc1ccc(C(=O)N(C)C)cc1NC(=O)CCc1ccc(Cl)c(Cl)c1,-8.5,docking
47,CCNC(=O)c1ccc(NC(=O)NCc2ccc(-c3ccc4c(c3)C[C@H](C)O4)cc2)cc1,-8.5,docking
48,CCO[C@@H]1CCC[C@H]1NC(=O)C(=O)N1CCC(N(C)C(C)=O)CC1,-8.0,docking
49,COCCn1c([C@@H]2C[C@@H]2C#N)nnc1N1CCCC[C@@H]1CC(C)C,-7.3,docking
50,Cc1nn(C)c(C(=O)NCC(C)(C)CO)c1Cl,-6.2,docking
51,COc1ccc([C@@H](O)CNc2ccccc2C)cc1Cl,-7.7,docking
52,COCCCn1cc(C)nc1Nc1ccc(C)cc1Br,-6.9,docking
53,CNS(=O)(=O)c1ccc(C(=O)N2CCS(=O)(=O)[C@@H]3CCCC[C@H]32)cc1,-9.0,docking
54,C[C@H](O)C(=O)N1CCOC[C@]2(CN(C(=O)c3cc(Br)cc4cn[nH]c34)CCO2)C1,-8.2,docking
55,CC[C@H](NC(=O)c1cc(F)ccc1C)c1ccc(F)cc1F,-8.3,docking
56,C[C@H](NC(=O)c1ccc(C)nc1)c1ccccc1OCC(=O)N1CCCC1,-8.3,docking
57,CNC(CC)c1ccccc1OCC(O)=NC1CC1,-6.5,docking
58,Cc1c(C(=O)N[C@H]2CC[C@@H](CNC(=O)C(C)(C)C)C2)cnn1C,-7.6,docking
59,C[C@H](NC(=O)Nc1ccc(OCC(F)(F)F)c(F)c1)C(=O)NCc1ccco1,-7.7,docking
60,Cc1ccc(CNC(=O)c2ccc(C)c(S(=O)(=O)Nc3ccc(C)cc3)c2)cc1,-9.2,docking
61,CC[C@H](C)CC(=O)N[C@@H]1CCN(C(=O)c2ccnc(C)c2)C1,-7.5,docking
62,Cc1ccc(C(=O)N2CC[C@H](NC(=O)[C@@H]3CCCO3)C2)n1C,-7.9,docking
63,CC(C)(C)C(=O)N1CCC[C@H](NC(=O)C[C@@H](C)c2cnn(C)c2)C1,-7.5,docking
64,CC[C@H](C)C(=O)N1C[C@@H](CNC(=O)c2ccnc3ccnn23)[C@H](C)C1,-8.2,docking
65,CC[C@H](NC(=O)c1ccc2c(c1)NC(=O)[C@H](C)N2C)c1ccccc1OCC(=O)N(C)C,-8.4,docking
66,COc1ccc(C(=O)CCC(=O)N2CC[C@@H](CO)[C@H]2C)cc1OC,-7.5,docking
67,CC[C@H](C)NC(=O)[C@@H](C)Nc1ccc(Oc2ccccc2OC)c(F)c1,-7.8,docking
68,CN(C(=O)[C@@H]1CCC(=O)N1)[C@H]1CCN(C(=O)c2cc[nH]c2C)C1,-8.4,docking
69,COC(=O)c1ccc(NC(=O)CSc2nccc3ccccc23)cc1,-8.2,docking
70,CCCc1ccc(S(=O)(=O)N2CCOC[C@]3(CN(c4cccc(F)c4)C(=O)CO3)C2)cc1,-9.2,docking
71,COCCOCC(=O)N1CCOC[C@H]1CNC(=O)Cn1cccn1,-6.4,docking
72,Cc1cc(C(=O)N2CC[C@]3(C2)CN(C(=O)c2n[nH]c4ccc(C#N)cc24)CCO3)ccc1F,-9.8,docking
73,COC(=O)C1CCN(C(=O)Nc2cc(Cl)cc(Cl)c2)CC1,-8.0,docking
74,CCc1ccccc1C(=O)N[C@@H]1CN(C(=O)Cn2ccnc2)C[C@H]1O,-7.7,docking
75,CCCOc1ccc(OCCO[C@H](C)C#N)cc1,-6.0,docking
76,CN(C)C(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1,-7.7,docking
77,CN1C(=O)C[C@@H](CNC(=O)N2CCC(C)(CC)CC2)[C@H]1c1ccncc1,-8.0,docking
78,C[C@@H]1OCC[C@H]1C(=O)NCC1(Nc2ccc(C#N)cn2)CCCCC1,-8.0,docking
79,COc1ccc(OCCOC(=O)c2ccc(OC)c(S(=O)(=O)NC)c2)cc1,-7.5,docking
80,Cc1cccc(NC(=O)COc2ccc(-c3noc([C@H]4CCCO4)n3)cc2)c1C,-8.6,docking
81,CN(C)C(=O)c1ccc(CNC(=O)C(=O)N(C)C2CCC(C)CC2)cc1,-8.9,docking
82,Cc1ccc(-c2noc(C[C@H](NC(N)=O)c3ccccc3)n2)cc1,-9.3,docking
83,CC[C@H](C)NC(=O)[C@@H](C)Nc1cccc(NC(=O)N(C)C)c1C,-7.7,docking
84,COCCNC(=O)c1ccc(NC(=O)[C@@H]2[C@@H]3Cc4ccccc4[C@@H]32)cc1,-8.1,docking
85,CCc1nnc(N2CCC(C(=O)N3CCCC3)CC2)n1C[C@](C)(O)c1ccccc1Cl,-7.5,docking
86,Cc1cc(O)ccc1C(O)=N[C@H]1CC[C@H](CO)CC1,-7.5,docking
87,COc1ccc(C[NH+]2CCC(Cc3ncc(C(=O)[O-])s3)CC2)cc1F,-8.1,docking
88,CC(C)c1ccc(NC(=O)COC(=O)c2cnn(C)c2C2CC2)cc1,-7.8,docking
89,COc1ccc(C(C)(C)CNC(=O)Nc2cccc(S(=O)(=O)NC3CC3)c2)cc1OC,-8.2,docking
90,C[C@@H]1CN(C(=O)NCCCCn2ccnc2C)[C@H](C)CO1,-6.7,docking
91,C[C@@H]1CCCCN1C(=O)C(=O)Nc1ccccc1N1CCCCC1,-7.7,docking
92,CCN(CCOC)CC1(CNC(C)C)CCCC1,-5.2,docking
93,CC(C)(C)C(=O)N1CC[C@H](NC(=O)Cc2cnoc2)C1,-7.0,docking
94,C[C@H](O)[C@@H](C)Nc1ccccc1,-5.9,docking
95,COc1ccc(CCC(=O)NCCc2ccc(C)c(OC)c2)cc1,-7.7,docking
96,COc1ccc(C(=O)N[C@H]2CCCc3cn[nH]c32)cc1S(=O)(=O)N1CCCC1,-8.0,docking
97,CNC(=O)c1ccc(OCCN2CCCC2)cc1,-6.6,docking
98,C[C@@H]1C[C@H]1NC(=O)c1ccc(C(C)(C)C#N)cc1,-7.2,docking
99,CCN(CCOc1ccccc1C)CC(C)(C)O,-6.5,docking
100,C[C@H](C)NC(=O)Nc1cccc(C(=O)N2CCCCC2)c1,-8.2,docking
101,C[C@@H]1CCCN(C(=O)c2ccc(C)cc2O)[C@H]1CCNC(=O)OC(C)(C)C,-7.6,docking
102,CN(CCCNC(=O)[C@@H]1CCOC1)c1nc2ccccc2o1,-7.4,docking
103,COCCn1c([C@H](C)NS(C)(=O)=O)nnc1N1CCN(c2ccccc2C)CC1,-8.1,docking
104,CC[C@@H](C(=O)N1CCC([C@@H]2CCCCN2C(=O)CCN2CCOC2=O)CC1)NC(=O)OC(C)(C)C,-6.9,docking
105,C[C@H](NC(=O)c1cn(C(C)(C)C)nc1C)c1ccc(C)c(F)c1,-8.2,docking
106,CCOc1ccc(S(=O)(=O)Nc2ccc(N3CCCC3=O)cc2)cc1,-7.6,docking
107,CCN(CC)C(=O)N(C)CCCc1cc(-c2ccccc2)n[nH]1,-7.3,docking
108,CCC(=O)N1CCC[C@@H](NC(=O)c2cccc(C)c2)CC1,-8.0,docking
109,COC(=O)c1cc(C(=O)N2CCC[C@@H](C)[C@@H]2CCNC(=O)OC(C)(C)C)on1,-7.9,docking
110,CCN(CC(=O)N[C@@H]1CCS(=O)(=O)C1)C(=O)Cc1cc(Cl)cc2c1OCC2,-8.5,docking
111,C[C@H](NC(=O)NC1CCC(F)(F)CC1)c1ccc(OC)c(OC)c1,-8.4,docking
112,CNC(Cc1ccc(Cl)cc1)c1ccccc1F,-7.4,docking
113,COC(=O)[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H]1NS(=O)(=O)c1cccc(Cl)c1F,-8.7,docking
114,CC[C@H](C)NC(=O)c1ccc(NC(=O)NC(C)C)cc1,-7.4,docking
115,COc1ccc(-c2nnc(N3CCN(C)C(=O)C3)n2C[C@H]2CCO[C@@H]2C(C)C)cc1OC,-8.6,docking
116,CC(C)c1ccc(OC(C)C)c(CNC(C)C)c1,-6.9,docking
117,CCc1ccc(CCNC(=O)C(=O)N2CCCC3(CCOCC3)C2)cc1,-9.2,docking
118,Cc1noc(C)c1CNC(=O)Cn1c(-c2cccc(C)c2)n[nH]c1=S,-8.8,docking
119,CCOc1ccc(C(=O)Nc2ccc(C)c(N3CCNC3=O)c2)cc1OCC,-7.9,docking
120,CCCCCc1ccc(C(=O)N[C@H]2CCc3[nH]c(=O)ccc3C2)cc1,-8.6,docking
121,CC(C)(C)C(=O)N[C@@H]1CCC[C@@H]1CNC(=O)c1ccco1,-6.7,docking
122,Cc1ccc(C(=O)OCCc2ccc3c(c2)CCO3)cc1,-8.0,docking
123,CC[C@@H](NC(=O)C(=O)Nc1cc(-c2ccc(F)cc2F)nn1C)c1ccc(OC)cc1,-7.9,docking
124,C[C@H](CO)NC(=O)CCCOc1ccc(F)cc1F,-7.0,docking
125,Cc1ccc(C)c(OCC(=O)N2CCN(c3ccccc3F)CC2)c1,-8.9,docking
126,C[C@@H]1CN(C(=O)c2cc(C3CC3)nc3c2c(C)nn3C)Cc2ccccc2O1,-8.6,docking
127,CN(CC)C(=O)c1cccc(-c2ccc(S(=O)(=O)CC)cc2)c1,-8.3,docking
128,CC(=O)N(C)[C@H]1CCN(C(=O)CCn2cc(C)cn2)C1,-7.4,docking
129,Cc1ccc(CC(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2cncc3cnccc23)cc1,-8.1,docking
130,Cc1cc(C(=O)N[C@@H]2CN(C(=O)c3ncoc3CC)C[C@H]2O)ccn1,-8.4,docking
131,CNC(CCCOC)c1ccc(C)cc1C,-6.3,docking
132,Cc1cc(Br)ccc1NC(=O)NCc1cccc(OC)c1OC,-7.5,docking
133,CCOc1ccc(CN(C)C(=O)N[C@@H]2C[C@@H](C)O[C@@H](C)C2)cc1,-7.5,docking
134,CCCc1ccc(CCC)cc1OC,-6.3,docking
135,Cc1cccc(NC(=O)C(=O)N(C)CC(C)c2nccs2)c1,-7.8,docking
136,CNC(=O)c1ccc(C(=O)Nc2ccc(OCC(C)C)nc2)cc1,-7.4,docking
137,CN(CC)c1ccc(C(=O)N2CCC[C@@H](CC(C)(C)C(N)=O)C2)cn1,-8.4,docking
138,Cc1cc(C)cc(CNC(=O)N2CCC[C@H](C3CCOCC3)C2)c1,-8.9,docking
139,Cc1cc(C(=O)NC[C@H](C)N(C)C(=O)c2ccccc2O)no1,-7.7,docking
140,CCn1c([C@@H]2CCCN2C(=O)c2cc(S(=O)(=O)NC)cs2)nc2ccccc21,-8.2,docking
141,C[C@@H]1OCC[C@H]1C(=O)NCCN(CCO)C(=O)Cn1cncn1,-6.1,docking
142,CN(C)C(=O)N1CCC[C@@H](C(=O)Nc2ccccc2)C1,-8.1,docking
143,Cc1[nH]nc(NC(=O)[C@@H](C)[C@@H](C)S(C)(=O)=O)c1-c1ccc2c(c1)OCO2,-8.4,docking
144,CCCN(C)C(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,-6.6,docking
145,COc1ccc([C@@H](C)N(C)C(=O)[C@@H]2CCCN(C(=O)c3ccc(Cl)cc3)C2)cc1,-7.6,docking
146,CCCC(=O)N1C[C@@H](NC(=O)c2ccn(C)c2C)C[C@H]1C,-7.3,docking
147,CCC(=O)N[C@H]1CCN(C(=O)c2cc(C(C)C)nn2C)C[C@@H]1C,-7.4,docking
148,CC[C@H](C)C(=O)NC[C@H]1CCN(C(=O)c2cccc(C(N)=O)c2)C1,-8.3,docking
149,C[C@@H]1CCN(C(=O)N[C@@H]2CCc3c(C)cccc32)[C@H]1C,-7.9,docking
150,CC(C)(C)C(=O)N[C@H]1CCN(C(=O)CCCC(=O)NC)C1,-6.7,docking
151,C[C@H](NC(=O)Nc1ccc(OCCS(C)(=O)=O)cc1)c1cccc(C(F)(F)F)c1,-8.7,docking
152,Cc1nnc(N2CCC[C@H](S(=O)(=O)N3CCOCC3)C2)n1CCCN(C)CC(F)(F)F,-7.6,docking
153,Cc1ccc(CN2CCOC3(CCCC3)C2)cc1,-7.8,docking
154,CCN(CC)C(=O)CCC(=O)N(CC)[C@H](C)Cc1ccsc1,-6.3,docking
155,Cc1[nH]nc(NC(=O)[C@@H](C)Oc2ccc(Cl)cc2C)c1C,-8.4,docking
156,COc1ccc(Cl)cc1NC(=O)N1C[C@@H](C)O[C@@H](C(F)(F)F)C1,-8.2,docking
157,C[C@@H]1OCC[C@H]1C(=O)N1CC[C@@H](c2ccccc2)C1(C)C,-7.6,docking
158,CCOc1ccc(CCNC(=O)N2CC[C@@H](c3ccccc3C)C2)cc1,-8.2,docking
159,CC(C)N(C)C(=O)N(C)c1ccc(O)cc1,-6.6,docking
160,CO[C@@H]1CN(C(=O)c2cc(Cl)c[nH]2)C[C@H]1NC(=O)C1CC1,-6.9,docking
161,CC(C)[C@H](C(=O)Nc1cccc2nsnc12)N1C(=O)c2ccccc2C1=O,-8.7,docking
162,CCc1nc(CN2CCCN(C(=O)C3CCCCC3)CC2)cs1,-6.9,docking
163,Cc1ccc(C(=O)N[C@@H](C)CNC(=O)[C@@H]2C[C@H]2c2ccco2)c(Cl)c1,-8.4,docking
164,Cc1ccc(C(=O)N2CCOC[C@]3(C2)CN(C(=O)c2cccc4c2OCC4)CCO3)cc1,0.0,docking
165,C[C@@H]1C[C@H]1C(=O)N1CC[C@H](NC(=O)c2ccc3nc(C)oc3c2)[C@@H]1C,-7.5,docking
166,CCn1c(-c2ccc3nc[nH]c3c2)nnc1N1CC[C@H](COC)C1,-8.0,docking
167,Cc1ccc([C@@H](NC(=O)C(=O)N(C)C[C@@H](C)O)c2ccccc2)cc1,-7.7,docking
168,Cc1ccc(C(=O)Nc2cccc(N(C)C(N)=O)c2)cc1S(=O)(=O)N1CCCCC1,-9.7,docking
169,CC(=O)c1ccc(NC(=O)N(C)[C@@H](C)c2cccc(O)c2)cc1,-8.3,docking
170,C[C@H](OC)C(=O)N(C)C[C@H]1CCCN1C(=O)c1cc(OC)no1,-7.2,docking
171,CC(C)(C)C(=O)NC[C@@H]1CN(C(=O)C(C)(C)C)C[C@H]1C,-7.1,docking
172,CC(=O)N1CCC(C(=O)N2CCCC2c2cccc(C)c2C)CC1,-7.7,docking
173,Cc1ccc(OCC(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4ccc5c(c4)CCN5C)[C@H]3C2)cc1,-10.0,docking
174,Cc1ccc(NC(=O)C(=O)N2C[C@@H](CO)O[C@@H](C)C2)cc1N1CCNC1=O,-8.4,docking
175,CNCC1CCCCN1c1ccc(C(F)(F)F)cn1,-7.5,docking
176,CNC(=O)c1cc(-c2ccccc2)nc2cc(Cl)ccc12,-9.0,docking
177,Cc1ccc(NC(=O)CN2C(=O)N[C@](C)(c3ccccc3)C2=O)cc1F,-9.2,docking
178,CC(C)(C)NC(=O)N[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,0.0,docking
179,CC(C)NC(=O)c1ccc(NC(=O)N[C@@H]2CCN(c3ccc(Cl)cc3)C2)cc1,-8.2,docking
